name,lng,lat,status,uid_name,lng_wgs84,lat_wgs84,geometry
北三环中路,116.377422166388,39.9664223675039,No Geometry Accepted,,116.377422166388,39.9664223675039,
农光里,116.459305231953,39.8806912902182,No Geometry Accepted,,116.459305231953,39.8806912902182,
弘善家园,116.444730045492,39.8693541355146,Crawled,弘善家园,116.444730045492,39.8693541355146,"POLYGON ((116.44078337745441 39.870237012705616, 116.44070423122652 39.86986988571904, 116.44068218927289 39.86977684984584, 116.44068220173138 39.869687854958045, 116.44071228930112 39.869597916333944, 116.44075551501588 39.86947000447372, 116.4409269738944 39.86925433787994, 116.44193362808304 39.86849218135793, 116.44227453868723 39.86823384527016, 116.44250214598202 39.86808928854748, 116.4425502729412 39.86807138171991, 116.4425853647234 39.86806444934341, 116.4426314842854 39.868063537796516, 116.44267359270633 39.868068618264765, 116.44273875837463 39.86809274195313, 116.44278586929651 39.86817382780052, 116.44282895717046 39.86834490081993, 116.44283898055535 39.86836391900073, 116.4428610352439 39.868382960316, 116.44288208918373 39.868389000461946, 116.44291216749129 39.86838905832518, 116.44294425177549 39.86838412035889, 116.44343955933056 39.86830798125391, 116.44471796217253 39.868302378659756, 116.44473912026591 39.86829442078959, 116.44476017882182 39.86828146302139, 116.44477321564266 39.868269489399744, 116.4447892644203 39.868230523270825, 116.44480532587147 39.86810256229265, 116.44480536272383 39.86784357725441, 116.44471317897742 39.86738842175318, 116.44471318196594 39.867367422963675, 116.44471318808502 39.86732442544307, 116.44473325047039 39.86726546834056, 116.44476133605079 39.86719552768758, 116.44477738226661 39.86717456051443, 116.4448064644901 39.867147619390906, 116.44600280070054 39.866608927302565, 116.44644404043876 39.86646382155762, 116.44757335903908 39.86605703535708, 116.44808182560682 39.8658829875232, 116.44946893902171 39.86572277469004, 116.44949300886053 39.86572372503045, 116.44951206383898 39.865726764760765, 116.44953412600731 39.86574081015946, 116.44956320432071 39.86578486852598, 116.44957122351055 39.865813883642105, 116.44961124068313 39.8665079270809, 116.4496320641765 39.86746591495154, 116.44962183753915 39.86884081354086, 116.44960677047602 39.869002772538465, 116.44961378790481 39.86902378603219, 116.44962381538971 39.86903580636219, 116.44963484651875 39.86904282909026, 116.4496518954719 39.869047864561765, 116.45100598156009 39.86903453151988, 116.45103807661897 39.86903659995648, 116.45108320976409 39.86904369600117, 116.45112533332227 39.86905578537534, 116.45114639369112 39.86907182949672, 116.45116945717349 39.869107876754946, 116.4511814889793 39.86913590087879, 116.45118336598286 39.870033252810664, 116.45118135857426 39.87004324793402, 116.45116330339609 39.8700532087131, 116.4511402347468 39.87005315935528, 116.44959077778098 39.870024079743615, 116.44790031859192 39.87002137487737, 116.44629582298994 39.870024517777885, 116.44502273917851 39.87003398014537, 116.44443234891227 39.87004241700428, 116.44346839122963 39.87003593781707, 116.44342126745919 39.870034846590585, 116.44340422323197 39.87003081381761, 116.44338918513405 39.87002078528123, 116.443374148744 39.869998757444854, 116.44313063856502 39.86909133904469, 116.44310257098222 39.86905028725302, 116.44308653033944 39.8690412568342, 116.4430624680566 39.8690372106706, 116.44302938154514 39.86903814684413, 116.44218417348927 39.86917861890757, 116.44217815578911 39.86919460652176, 116.44220019829777 39.869294942790454, 116.44242265413955 39.870126019771256, 116.4424226509002 39.87014901844165, 116.44241162048738 39.870162996550626, 116.4423965814326 39.87016496769191, 116.44096081136205 39.87030824101216, 116.44090266559628 39.87030923194317, 116.44086958282584 39.8703091699602, 116.4408314889816 39.8702990991964, 116.44080843402888 39.87028005712858, 116.44078337745441 39.870237012705616))"
望京西园一区,116.469525721766,40.0024572427636,Crawled,望京西园(一区),116.469525721766,40.0024572427636,"POLYGON ((116.46732626190584 40.003529262061946, 116.4673166318597 40.00350363731869, 116.46731342443728 40.00347642980118, 116.46731342866083 40.003446030990006, 116.46732588751001 40.003334868590386, 116.46732789706726 40.00331647467368, 116.46733191384779 40.00329648618414, 116.46734074698593 40.003279710443174, 116.46735118489354 40.0032689387616, 116.46735439633244 40.00326724741197, 116.46737085501336 40.00325819176646, 116.46739534100458 40.003254257400414, 116.46741862247379 40.003252719738526, 116.46744511488502 40.003253190609975, 116.46772167915825 40.00326793148776, 116.46775660089229 40.003270825179335, 116.46778148788273 40.00327129203514, 116.46780376592595 40.00327055194462, 116.46781982223841 40.00326959514966, 116.46783326970377 40.00326663142402, 116.46784731966918 40.00326086943245, 116.46785695490819 40.00324989577154, 116.46786297797789 40.00323551252757, 116.46786659361904 40.00321392308558, 116.46787101312555 40.00318473609888, 116.46787422974931 40.003145946246036, 116.46787624160484 40.00311115299902, 116.46787664756295 40.00307835535442, 116.46787790316334 40.002708373018265, 116.46788031814967 40.00266118134238, 116.46788353305628 40.002634791013364, 116.46789317122085 40.00260281818481, 116.46791003356645 40.00257886449054, 116.46792850098281 40.0025589149707, 116.46795900968041 40.00254539763718, 116.46799192638866 40.0025350866964, 116.46804491309332 40.00252722979428, 116.46809629300759 40.00252816831019, 116.46849689954756 40.00252215180671, 116.46876985806529 40.002530792586676, 116.4693333404094 40.0025572291599, 116.4697733900095 40.00259913546061, 116.46980309524075 40.00259841724759, 116.469823166609 40.0025960725954, 116.46983882290709 40.00258971594741, 116.46985407823163 40.00258015832292, 116.46986973630784 40.002561002175135, 116.46988740210308 40.0025374517327, 116.46990466637223 40.00251470016302, 116.47007569826353 40.002326379052725, 116.47008693997937 40.00231281060554, 116.47009376610175 40.00229882998282, 116.47009778265112 40.002282041706415, 116.47009939071769 40.00226484679332, 116.47011066835472 40.001991288232716, 116.47011107303744 40.00196769023947, 116.47011107513825 40.00195249081806, 116.47010585879549 40.00193687699903, 116.47009743107043 40.001921254311455, 116.47008338254457 40.00191201586421, 116.47006331190984 40.00190836058745, 116.47003481108224 40.001907081966614, 116.46937287002783 40.00190446221306, 116.46862865238161 40.00187283420113, 116.46761389852814 40.00185249733471, 116.46758339234464 40.00184961567498, 116.46755368948746 40.001843136339815, 116.46752880380251 40.00183427002877, 116.46750191184977 40.00182019857211, 116.46748545623305 40.00180695504124, 116.46747140958627 40.001789718123696, 116.46746177941473 40.00176489333015, 116.46745656421062 40.0017432802267, 116.46744934256006 40.00171766191351, 116.46744854282397 40.001695660641204, 116.46744694307309 40.00165365801753, 116.46745263730318 40.00111849442461, 116.46745826210459 40.00108131094902, 116.46746308332382 40.00104972510164, 116.46746991065602 40.001024544369805, 116.46747834286778 40.00100456772652, 116.46749078926003 40.00098340187638, 116.46750684771027 40.000966245541605, 116.4675249130613 40.00094989455652, 116.46755903571558 40.00092478693696, 116.4676060040441 40.00089411400343, 116.46764012614298 40.0008734062988, 116.46767344479224 40.000857496287104, 116.46773285578567 40.000833656656994, 116.46778102509704 40.000827386249, 116.4678532784862 40.000822780590134, 116.46793034817863 40.00082298787322, 116.47117339953915 40.00087628299308, 116.47118744923088 40.000879122151765, 116.4711994911647 40.00088635553898, 116.47120310216951 40.00089996512136, 116.47120229693829 40.00091716222329, 116.47117533219902 40.0014170681101, 116.47117814028704 40.00143107543492, 116.47118656873869 40.00144269855948, 116.47120302691276 40.001446344432395, 116.47123032373584 40.00145002062267, 116.4712451763084 40.00145286205661, 116.4712604289404 40.001465704243856, 116.47126444072225 40.00148411478028, 116.47123788359055 40.001939223575704, 116.4712008998406 40.00231750616146, 116.47120410831855 40.00233911433632, 116.47121614883646 40.00235674735789, 116.47123059904521 40.0023663874184, 116.47125227546675 40.00237284781983, 116.47136547896473 40.00237556463484, 116.47163323372085 40.002385915379996, 116.47182712487572 40.00240086009686, 116.4720687832922 40.00244833953183, 116.47209166512238 40.002449204088016, 116.47211173684235 40.00245046070961, 116.47212618794599 40.002455301340824, 116.4721350184829 40.00246332598793, 116.47214063674966 40.00247694136257, 116.47214143732297 40.00249374301406, 116.47214143529362 40.002508542472036, 116.47210962340236 40.00322562676488, 116.4721080104162 40.00327842031537, 116.47210680385598 40.00329481631996, 116.47210479496785 40.00330721020284, 116.47209837031818 40.00331919163141, 116.47208632444303 40.00333915690458, 116.47206223566157 40.00335748824551, 116.47202771072244 40.00336699047135, 116.4718952358908 40.00337141678111, 116.47181815916218 40.00337839944013, 116.47178122652528 40.003382295340444, 116.47173947559044 40.00339417743872, 116.47171378121179 40.003412504508184, 116.47169691534236 40.003453255612136, 116.47168004398937 40.003534005269614, 116.47166558629868 40.00357796304537, 116.47163989096462 40.003603489908265, 116.47160375867544 40.00362658755732, 116.4715563887784 40.003631254354346, 116.47148493191675 40.00364305337532, 116.47139500966999 40.00365160090534, 116.47081934983056 40.0037089903592, 116.4700012293264 40.003817318026556, 116.46964957897805 40.003856348028805, 116.46844090620353 40.00394624581784, 116.46841481440774 40.003947375085254, 116.46839313851622 40.00394571643906, 116.46837628010005 40.003940071002035, 116.4683626333497 40.00393163437504, 116.46835340232424 40.00392160976598, 116.46834818627751 40.00390519626875, 116.46834457597737 40.003887987149106, 116.46834216984968 40.003871181273375, 116.46834056759144 40.00384677786213, 116.46833777151986 40.00374717407133, 116.46833938081117 40.00372077942772, 116.46833777982897 40.0036871763709, 116.46833377139087 40.0036463670733, 116.46831291298594 40.00353911471549, 116.46737603282642 40.003548994354084, 116.46734392151536 40.003543708704065, 116.46732626190584 40.003529262061946))"
沿海赛洛城七期,116.498423360228,39.8969203743973,Crawled,沿海赛洛城,116.498423360228,39.8969203743973,"POLYGON ((116.49688014577212 39.894008165826065, 116.49686729782077 39.89400252728083, 116.49669705075914 39.89402041342518, 116.49668420250272 39.894017174771776, 116.49667135485184 39.89400913626605, 116.49666734126258 39.89399632455596, 116.49670530588728 39.892233294091184, 116.49670691357059 39.892220499344155, 116.49671253585632 39.892212516556846, 116.49672779422886 39.892207762737115, 116.49792031036105 39.892195350477806, 116.49849248030947 39.892155065532585, 116.4986940412785 39.89216686766323, 116.49886227505739 39.892186969410204, 116.49887432001046 39.892191805205655, 116.49887994017452 39.89220062169369, 116.49888154217749 39.892233425408115, 116.49888635910688 39.89224383944581, 116.49890081336706 39.89224708247814, 116.5012199733449 39.89223475966231, 116.50123201826548 39.89223879500167, 116.50123763827806 39.89224841122715, 116.50123924266059 39.892262015490665, 116.5012827313544 39.897680361128394, 116.50128112071624 39.89771635518418, 116.50123933314593 39.89795222438052, 116.5012369207958 39.89797781642693, 116.50124080296689 39.89901779294575, 116.50123914410717 39.89942897425264, 116.5012343242832 39.89944175965159, 116.50122227801536 39.89944812401889, 116.50120621711096 39.89945047671288, 116.4992452047587 39.89947027605924, 116.49923315940052 39.899468640284766, 116.4992251299541 39.899461416633855, 116.49921951054878 39.899447000381905, 116.49921710308874 39.89943419363188, 116.49924122198591 39.899219072296546, 116.49924604175801 39.89920708701806, 116.49925728490331 39.899202320612474, 116.4998121911447 39.89914237043241, 116.49982905592219 39.899134420693954, 116.49984029965604 39.8991248543394, 116.49997763433613 39.899003665277235, 116.49998807564299 39.8989892966769, 116.49999289601301 39.8989725115035, 116.49999129200025 39.89895650727583, 116.49979621135395 39.89851274353456, 116.49978737980987 39.89849831781116, 116.49977292650298 39.89848787528141, 116.499751245463 39.89848061120467, 116.49915459338102 39.89844603937005, 116.4991401396275 39.89843879657981, 116.49913050512697 39.89842356838869, 116.49912729492863 39.898408359319525, 116.49910246376224 39.89791710113652, 116.49909684454687 39.89790108491767, 116.49908881560494 39.89788986136806, 116.49907516467975 39.897884220897, 116.49827373331594 39.897870629434536, 116.49825767179863 39.89787618121937, 116.49824964006545 39.89788655686892, 116.49824883476646 39.89790415390599, 116.49829209727775 39.89869465838422, 116.4982904893428 39.89870905312212, 116.49828326033281 39.8987218311039, 116.49827041086643 39.898728192480235, 116.49825756181279 39.89873135395596, 116.4972047739659 39.89873539696389, 116.49719272874955 39.89873216084946, 116.49718469936218 39.898724136955586, 116.49717988255652 39.898712922818206, 116.49714065680361 39.897756034346614, 116.497135036951 39.89774481778766, 116.49712540137386 39.89773758902608, 116.49711174986766 39.897735948009746, 116.4969398972316 39.89774823042944, 116.49692785159961 39.89774819416263, 116.49691660952422 39.89774416043672, 116.49691259565172 39.89773374866926, 116.49675540149715 39.89615652348967, 116.49672496831656 39.89551005161601, 116.49689056671706 39.89415539265354, 116.49689058207416 39.8940337964799, 116.49688817487005 39.89401858969825, 116.49688014577212 39.894008165826065))"
新外大街10号院,116.366213572074,39.959638744187,No Geometry Accepted,,116.366213572074,39.959638744187,
北太平庄路2号院,116.365300377415,39.9733513807324,No Geometry Accepted,,116.365300377415,39.9733513807324,
马甸南村,116.371405804933,39.9653538719179,Crawled,马甸南村小区,116.371405804933,39.9653538719179,"POLYGON ((116.36944451228285 39.96628662447733, 116.36953263083635 39.96600315418367, 116.3695376255959 39.96599234991537, 116.36954521698217 39.965981343130885, 116.36955550470917 39.96597143366189, 116.36956689082372 39.965963023044345, 116.36957937532753 39.96595611127872, 116.36959255871962 39.96595089874413, 116.36960634113315 39.96594738553855, 116.36962042294748 39.96594567194732, 116.37000772074083 39.965944697742515, 116.37002310099572 39.965944182993404, 116.37003668392276 39.9659407701363, 116.37004787018111 39.96593535969508, 116.37005795809839 39.96592795042056, 116.37006654813882 39.96591894267454, 116.3700732408008 39.96590843683245, 116.37007793615113 39.96589693296198, 116.37008043442101 39.965884631243256, 116.37008274291153 39.96578943427264, 116.37008044736424 39.96577693716294, 116.37007435665858 39.9657647436769, 116.37006616844647 39.96575425211053, 116.37005648198316 39.96574526190086, 116.37004539711864 39.965737972943124, 116.3700333133402 39.96573238485427, 116.37002053021642 39.96572889732578, 116.37000734736156 39.96572751006989, 116.3696978497587 39.96571500953644, 116.36968376820873 39.96571412324178, 116.36967078578954 39.965708636140384, 116.36966279704663 39.96570164428029, 116.36965680590703 39.9656929505765, 116.36965321179909 39.965682954618615, 116.36965241411619 39.965672355978846, 116.36984054414319 39.9650530080972, 116.36984474022447 39.96504040474379, 116.36984913602464 39.965028001186404, 116.36985373156571 39.96501559743675, 116.36985862670866 39.96500329339293, 116.36986362166293 39.96499148922595, 116.3698703143121 39.96498058337087, 116.36987880446802 39.96497107570515, 116.36988879248426 39.96496326650158, 116.36990007859806 39.9649573559442, 116.36991226330272 39.96495354440737, 116.36992484722083 39.9649520323622, 116.36993763062321 39.964952720007446, 116.3701606416391 39.964970004900955, 116.37017602185406 39.964970690143794, 116.3701911026445 39.9649698757635, 116.37020498509774 39.96496806258922, 116.37021976674819 39.96496344871648, 116.37023195194269 39.96495703742928, 116.37024343819434 39.96494932688547, 116.37025402573195 39.964940517264445, 116.37026361469384 39.9649305086653, 116.37027210517063 39.964919601166685, 116.37027939728765 39.964907794862626, 116.37038509212177 39.96466350770565, 116.37039168521265 39.96465130211141, 116.3703997762354 39.964640495016155, 116.37040966482067 39.96463098614149, 116.37042205010843 39.96462257483714, 116.37043523423411 39.96461546270591, 116.37044911730017 39.964609849832065, 116.37046349956171 39.964605736407485, 116.370478281134 39.964603222520275, 116.37049326228353 39.96460220836728, 116.3705082432377 39.96460289412605, 116.3706566550319 39.964610453331076, 116.37067123654249 39.964611639505776, 116.3706840201785 39.96461402731531, 116.37069660390424 39.96461781524032, 116.37070828850153 39.96462380389585, 116.37071797544533 39.96463119435927, 116.37072616408105 39.96464018614796, 116.37073255479488 39.96465067954871, 116.3707368480351 39.96466207487615, 116.37073894395985 39.96467407224011, 116.37073874272994 39.964686371749856, 116.37070045690913 39.96496779228316, 116.370699656386 39.96498049233704, 116.37069995485481 39.96499009152631, 116.37070314932541 39.965002687820956, 116.3707085411561 39.9650142821009, 116.37071453259662 39.965022875982115, 116.37072671624212 39.965031664021176, 116.37073969903629 39.965039251378734, 116.37075328125466 39.965045438254116, 116.37076756276205 39.96505032454755, 116.37078214408466 39.965053710648256, 116.37079702522222 39.96505559655519, 116.37081200642497 39.965055982456896, 116.37085794896915 39.96505613931667, 116.37087283043503 39.96505572538081, 116.37088721266728 39.965054211978924, 116.3708998971704 39.9650515002401, 116.37091208256693 39.9650465890938, 116.37092346917159 39.965039978792504, 116.37093385721747 39.965031769518035, 116.37094284717784 39.96502216163192, 116.3709504390268 39.96501135512192, 116.37095623323535 39.96499955035069, 116.3709603296546 39.96498694721201, 116.37098361358693 39.964879831334656, 116.37098780989957 39.96486712811111, 116.37099390378157 39.96485502308145, 116.37100219475664 39.96484441591818, 116.37101318222886 39.96483510616549, 116.37102526818721 39.96482709531918, 116.371038252868 39.96482048356078, 116.37105183661012 39.96481557115419, 116.37106601942538 39.964812258106065, 116.37108040179862 39.96481064478329, 116.37201456661154 39.96479858623793, 116.3720692012801 39.96479973664593, 116.37208538192918 39.96480032196109, 116.37210196206749 39.96480130689948, 116.37211754329886 39.964803192700025, 116.37213222546661 39.96480627925402, 116.37214660784419 39.964810666013925, 116.3721604906804 39.96481625316511, 116.3721705780074 39.96482204373769, 116.372183761377 39.96483023138726, 116.37219384872739 39.964835921971954, 116.37220733200951 39.96484200947417, 116.37222241347867 39.964847495572876, 116.37223769484267 39.96485198155211, 116.37225327599555 39.96485536732729, 116.37226905704341 39.96485775298399, 116.37228493811749 39.96485903861688, 116.37230091920584 39.96485932422094, 116.3728227104577 39.964852358792776, 116.37283729369567 39.96485164591655, 116.37284967963605 39.96484963506114, 116.37286236520167 39.96484792392782, 116.37287465150108 39.964844013271204, 116.37288334229918 39.964837205954765, 116.37289243294025 39.96482789842211, 116.37290052485612 39.964817591828826, 116.37290741826286 39.9648063863444, 116.3729130132385 39.96479458204088, 116.37291720989762 39.964782179005745, 116.37292000821495 39.96476937722788, 116.37294270575387 39.96457256785761, 116.3729468024143 39.9645611648603, 116.3729531962919 39.96455095977033, 116.37296148782256 39.964542152932175, 116.37297137729344 39.96453524458261, 116.3729824651401 39.964530435065214, 116.37299435178943 39.96452802471692, 116.37300633802991 39.9645281141488, 116.37350726939742 39.9645308759268, 116.37352035468287 39.964531164556135, 116.37353333981152 39.96453375315288, 116.37354562550509 39.96453824225815, 116.37355711184865 39.96454483194665, 116.37356729945931 39.96455302267753, 116.37357419041527 39.96456411610992, 116.37357928329993 39.96457591106306, 116.37358337726738 39.96458800686588, 116.37358587326358 39.96459810416005, 116.37358687061088 39.96461090260681, 116.37358746840518 39.9646237013995, 116.37358776653456 39.964636500451554, 116.37358776499902 39.96464929976285, 116.37358736390966 39.964662099420316, 116.37358676304427 39.96467489925092, 116.37358576262586 39.96468769942747, 116.37353205058021 39.96528931360718, 116.37353045083877 39.96530211430639, 116.37352825176973 39.965314915526335, 116.3735246543759 39.965326818006645, 116.37352015799144 39.96533872126659, 116.37351656056371 39.965350923731684, 116.37351406186816 39.96536342522779, 116.3735125620283 39.96537612584698, 116.37351216095617 39.965388825513834, 116.37351275876402 39.9654015243142, 116.37352643256334 39.96549220759574, 116.37352503280239 39.96550330821431, 116.37352103603813 39.96551371112173, 116.3735147420064 39.965522816091834, 116.37350635053345 39.965530222973065, 116.37349656088533 39.96553553118137, 116.37348207676568 39.965538743579316, 116.37319949527455 39.96554608953122, 116.37306594759842 39.965545906696356, 116.3730507649188 39.965546320023314, 116.37303558207088 39.965548233275435, 116.37302069873515 39.96555144619968, 116.3730061149115 39.965555958796344, 116.37299492704666 39.96556176833758, 116.37298463792823 39.96556947698709, 116.37297564714456 39.96557868441508, 116.37296805461588 39.96558909054744, 116.37296216001914 39.96560049513006, 116.37295786349314 39.96561269826162, 116.37295556461211 39.965625399605116, 116.37295214598008 39.96581369249027, 116.37295154513797 39.965826492331864, 116.37295064463935 39.96583929243753, 116.37294934459999 39.96585209289634, 116.37294764502062 39.96586489370762, 116.37294564579737 39.96587759478814, 116.37294324709335 39.96588979624853, 116.37293785194271 39.96590110040039, 116.37293045924615 39.96591110638535, 116.37292126878924 39.96591971403328, 116.37291068017268 39.965926423020846, 116.37289909296304 39.96593103300537, 116.37288680682806 39.96593344372897, 116.37287432120694 39.965933554757065, 116.37148896598201 39.96592260535258, 116.37147368458264 39.96592291940963, 116.37146259772719 39.9659261294497, 116.37145250937004 39.96593173844207, 116.37144391893636 39.96593944594248, 116.37143722598408 39.96594885160186, 116.37143283008237 39.96595945507821, 116.37143440321427 39.96616734231892, 116.37143140553302 39.96617854447429, 116.37142611076779 39.966188848797565, 116.37141871872389 39.9661978551268, 116.37140952910835 39.96620496321984, 116.37139904133676 39.96620997262697, 116.37138775484826 39.96621248291071, 116.37092922074498 39.96621510900884, 116.37091423934932 39.96621562300239, 116.37089935765916 39.966217636827935, 116.3708847754137 39.96622125029027, 116.37087348894444 39.966225860615474, 116.37086170270882 39.96623377123282, 116.37085201380017 39.966242179858824, 116.370843623129 39.966251787204854, 116.37083673045727 39.96626249308674, 116.37083143566984 39.96627419741638, 116.3708278387014 39.96628640012566, 116.370826039426 39.96629910112134, 116.37082583858519 39.966308200812804, 116.37082393943476 39.96632090190242, 116.3708215413639 39.9663298036678, 116.37081734545923 39.96633940708224, 116.37080995341998 39.966350113438395, 116.37080076381392 39.9663593215656, 116.3707901761649 39.966366831100764, 116.37077839023823 39.96637254186333, 116.37076590544687 39.96637615340165, 116.37075302142652 39.96637756543945, 116.3695039246555 39.96636686209377, 116.3694883451672 39.96636617732067, 116.36947706037927 39.966362788513926, 116.36946677457581 39.96635699886811, 116.369457987038 39.966349307867574, 116.36945099735976 39.96633981521332, 116.36944620495456 39.96632902048733, 116.3694428110977 39.96631502457288, 116.36944211349505 39.96630272593174, 116.3694436129825 39.9662906251346, 116.36944451228285 39.96628662447733))"
农光东里,116.463734222306,39.8817330301137,Crawled,农光东里,116.463734222306,39.8817330301137,"POLYGON ((116.46515633226267 39.88184081372272, 116.46517701542618 39.882473338480466, 116.4651862071859 39.88276024933524, 116.4651852019621 39.88277304614255, 116.46518289227403 39.88278573956431, 116.465179278166 39.882798029614165, 116.46517445998042 39.88280991655304, 116.465168337389 39.88282130012673, 116.46516111112257 39.88283188086905, 116.46515217896201 39.882842757168085, 116.46514164143308 39.882852629345194, 116.46513000030215 39.88286119871815, 116.46511745626994 39.88286836581379, 116.46510410971118 39.882873930903905, 116.46509016132767 39.88287779451461, 116.46507581180964 39.88287995716847, 116.46506136217423 39.88288051964123, 116.46367483085352 39.882882154376375, 116.46366128486397 39.882882219868144, 116.46364793985414 39.88288018597549, 116.46363509684357 39.88287605346355, 116.46362295647099 39.88287012282968, 116.46361192011163 39.882862295099, 116.46360218839054 39.882852970762364, 116.46359606870156 39.88284525554581, 116.46359045107728 39.88283494172886, 116.46358663965054 39.88282413253087, 116.46358473460587 39.88281392815707, 116.46358383332831 39.8828011264566, 116.46358178811228 39.88235734189838, 116.46180801120525 39.882374282815555, 116.46179356299818 39.88237354697976, 116.46177921536912 39.88237111148216, 116.46176536967488 39.8823668773231, 116.46175202588621 39.88236104449228, 116.46173958534526 39.88235361398561, 116.4617281483699 39.88234468604425, 116.46172032355157 39.882335167094745, 116.46171520789648 39.88232485490297, 116.46171199889213 39.882312547535584, 116.46171109738715 39.88230174581816, 116.4617116008547 39.882288947680344, 116.46174998206556 39.88190966111716, 116.4617471815355 39.88184645722021, 116.46176354618541 39.88034677102023, 116.46176456160134 39.880261077770896, 116.4617655900305 39.88008298913442, 116.46176733525905 39.87980240739454, 116.46176959333108 39.87944283093173, 116.46177959657325 39.87894648065426, 116.46177949803128 39.87893378104937, 116.46178120551035 39.87892118591896, 116.46178451831382 39.87890889475409, 116.46178953673271 39.87889720778936, 116.46179606007132 39.878886324517865, 116.46180408829954 39.878876444931095, 116.46181342072164 39.878867768521076, 116.46182345522543 39.878860993760185, 116.46183549634357 39.87885492394736, 116.46184984501258 39.878850059806254, 116.46186399274858 39.878847095077866, 116.46187904335504 39.87884523254301, 116.46189469584048 39.87884437145974, 116.46191105057042 39.878844312089704, 116.46192760590853 39.87884475320134, 116.46201018178614 39.87884875831302, 116.462743840237 39.878890590640715, 116.46284257228194 39.8788956386698, 116.46351604548725 39.87892053996286, 116.46390937837408 39.878936740725955, 116.4646214018312 39.87896176610001, 116.4648306166765 39.87896660588777, 116.46484707289936 39.878967348392095, 116.46486342870179 39.87896869061722, 116.46487978442568 39.87897063282158, 116.46489603971452 39.87897327474159, 116.46491219456789 39.87897661637693, 116.46492814867098 39.87898045747666, 116.46494400233804 39.878984998292154, 116.46495483879839 39.87898972611642, 116.46496828387578 39.87899676058822, 116.46498122712582 39.87900459372709, 116.4649936685218 39.879013425524285, 116.4650055077601 39.87902295573284, 116.46501353407548 39.87903147611479, 116.46502135934044 39.8790425958527, 116.46502818108436 39.87905431296311, 116.46503409966337 39.87906652770998, 116.46503901473537 39.87907923983339, 116.46504132125736 39.87908914533224, 116.46504292495206 39.87910204886403, 116.4650627441612 39.87945098340036, 116.46506193971408 39.87946308073183, 116.46505812512986 39.879473870322016, 116.4650520027882 39.87948355398197, 116.46504387380756 39.87949153252373, 116.46503413959198 39.879497606998, 116.46502320158717 39.87950127847148, 116.46500794919271 39.879502138905245, 116.46407515926553 39.8795298354729, 116.46406382028212 39.87953260632246, 116.46405338403805 39.87953777936895, 116.46404435226835 39.87954515590424, 116.46403722673492 39.879554337230715, 116.46403230853068 39.879564824141355, 116.46402979839556 39.87957621716753, 116.46406789296823 39.8805424680451, 116.46407130299671 39.88055377623252, 116.46407702102198 39.88056409037602, 116.46408474606172 39.880573109720956, 116.4640942775318 39.88058013378876, 116.4641050133986 39.880585061043504, 116.4641165523233 39.88058769046983, 116.46412839264087 39.88058772079613, 116.46506077812298 39.880593023882106, 116.46507251837531 39.8805930543327, 116.46508395724881 39.88059558388832, 116.46509469338201 39.88060051151218, 116.46510412473641 39.88060763565004, 116.46511174964634 39.88061655501795, 116.46511736747908 39.88062686911304, 116.46512067725746 39.88063817717168, 116.46512845521227 39.88098808093298, 116.46513494971192 39.88118768846918, 116.46515633226267 39.88184081372272))"
国美第一城3号院,116.509456647947,39.9325306477595,Crawled,国美第一城-3号院,116.509456647947,39.9325306477595,"POLYGON ((116.5077424392518 39.93076636588794, 116.50775689383855 39.93075920668728, 116.50927932266961 39.9307498472942, 116.5101497251202 39.930742652629995, 116.51071259025221 39.930731401110684, 116.51073266339807 39.930733856095934, 116.51074872116574 39.93074109983054, 116.51075594570086 39.93075471902196, 116.51073406861266 39.93216019340664, 116.51074037773856 39.93297457269506, 116.51074920815589 39.932988196295746, 116.51076285698898 39.93299623338006, 116.51100534747664 39.93297129951518, 116.51101979996737 39.932973739000495, 116.51103184297708 39.93298097165818, 116.51104308203874 39.93299540177459, 116.51104709401535 39.93301461186851, 116.51103018309851 39.93336574915381, 116.51100768577508 39.933473682475196, 116.51099644277697 39.93348725103337, 116.51098600361045 39.93349442209077, 116.51097235348637 39.9334959846074, 116.51041109953042 39.93348964384128, 116.5091866013738 39.93346626313141, 116.50898827057263 39.933462512988825, 116.50776856311305 39.93344311351056, 116.50775330791276 39.9334334712599, 116.50774528005032 39.93341984942646, 116.50774447897207 39.93340624782461, 116.50774315229216 39.93284367058925, 116.5077384225741 39.93077915404618, 116.5077424392518 39.93076636588794))"
